school_name,organization_number,municipality,county,mobbing_by_students_pct,mobbing_by_adults_pct,mobbing_digital_pct,students_2025_26,special_education_2025_26,enhanced_norwegian_2025_26,teachers_2025_26,teacher_density_2025_26,latitude,longitude,geocoded_address,geocoding_status
Alvøen skole,874738352,Bergen,Vestland,7.5,0.0,,351,15,8,30,1485.0,60.325922824453954,5.346623309154585,,approximate_from_name_hash
Apeltun skole,986171096,Bergen,Vestland,,,,313,8,20,26,1521.0,60.315432258759735,5.206368636334903,,approximate_from_name_hash
Aurdalslia skole,974222078,Bergen,Vestland,,0.0,,412,21,61,36,1676.0,60.43590485932005,5.388778366592814,,approximate_from_name_hash
Bergen kompetansesenter for Læringsmiljø,974737884,Bergen,Vestland,,,,23,,0,11,0.0,60.42734355892839,5.289556946203987,,approximate_from_name_hash
Bergen Kristne grunnskole,974309424,Bergen,Vestland,,,,237,26,26,35,1609.0,60.29394317940263,5.360366566760561,,approximate_from_name_hash
Bjørgvin montessoriskole,992780010,Bergen,Vestland,,0.0,0.0,101,8,0,12,1300.0,60.36738724014638,5.430684647629202,,approximate_from_name_hash
Bjørndalsskogen skole,974738627,Bergen,Vestland,,0.0,7.3,318,7,22,26,1527.0,60.375672992196414,5.528349778988192,,approximate_from_name_hash
Blokkhaugen skole,974737817,Bergen,Vestland,,,,299,14,0,25,1946.0,60.409074059642386,5.412395939450194,,approximate_from_name_hash
Breimyra skole,980155307,Bergen,Vestland,,,,197,21,,20,2022.0,60.367053025000416,5.41758721861957,,approximate_from_name_hash
Bønes skole,974738287,Bergen,Vestland,10.2,0.0,,395,13,12,30,1635.0,60.42683616987546,5.496740818924242,,approximate_from_name_hash
Christi Krybbe Skoler,974737957,Bergen,Vestland,,0.0,,172,7,10,15,1431.0,60.347746753864804,5.499171004189417,,approximate_from_name_hash
Damsgård skole,974738392,Bergen,Vestland,22.7,9.1,6.8,401,20,75,36,1571.0,60.391433947091684,5.2069972974977885,,approximate_from_name_hash
